a1,a2,a3,a4,a5,a6,a7,label
5.13,-6.6,0.96,0,0.02,-0.01,14361620.95,1
0.12,3.57,0.96,0.25,0.37,-0.05,25102910.48,1
0.04,2.7,1.22,0.05,0.53,-0.34,7482178.1,1
0.18,1.37,0.87,0.01,0.25,0.01,19787194.29,1
0.2,0.36,0.78,0.22,0.17,0.09,13682327.62,1
0.15,3.13,0.76,0.04,0.23,0.1,6704626.67,1
0.12,3.57,0.97,0.01,0.37,-0.01,6731007.39,1
4.25,3.97,0.88,0,0.03,0,11276864.27,1
0.83,1.89,0.95,0,0.14,0.03,22469708.57,1
0.33,3,0.81,0.18,0.2,-0.02,15871858.1,1
0.04,-3.97,1.05,0.17,-0.15,-0.55,8013575.24,1
0.11,2.98,0.91,0,0.33,0.01,12705787.62,1
0,0.97,0.82,0.1,0.25,0.01,6917820.87,1
5.26,-2.27,1.62,0.08,0.01,-0.64,14408543.81,1
0.12,-0.88,1.07,0.03,0.37,-0.11,18221392.38,1
0.06,1.14,0.9,0.07,0,-0.05,15235272.38,1
0.63,1.33,0.99,0.01,0.16,0,71740807.62,1
0.68,0.92,1,0.47,0.09,-0.02,21589364.76,1
0.23,1.43,0.8,0.11,0.22,0.03,7699907.66,1
1.97,1.11,0.94,0.07,0.07,0,21677882.86,1
0.43,1.25,0.83,0.01,0.2,-0.41,7868540.95,1
2.01,2.47,0.89,0,0.15,0.05,21783100,1
0.61,-27.84,0.35,0.05,0.35,-0.13,9141473.33,1
0.09,0.46,0.88,0.3,0.7,0,9294552.38,1
0.25,6.16,0.7,0.11,0.33,0.12,10671977.14,1
0.76,1.08,0.92,0.01,0.13,0.03,11805335.24,1
0.23,-0.1,0.66,0.06,0.26,-0.12,246952849.5,1
0.13,5.87,0.81,0.13,0.45,0.07,14964556.19,1
0.65,0.84,0.96,0.01,0.07,0,14158227.62,1
0,17.72,0.4,0.58,0.4,0.26,22328854.29,1
0.14,-1.63,0.76,0.05,0.02,-0.2,32557980.95,1
0.03,-11.46,0.99,0.23,-0.11,-1.68,8672303.81,1
1.62,0.48,0.79,0,0.06,0.12,11734886.67,1
0.65,1.53,0.92,0.09,0.09,0.01,13303500.95,1
0.13,2.4,0.49,0,0.43,0.18,6835313.33,1
0.73,0.55,1,0.01,0.04,-0.03,18620440.95,1
0.12,-1.73,1.22,0,0.37,-0.25,24362051.43,1
1.88,1.48,0.9,0,0.09,0.03,7262907.62,1
2.57,4.29,0.85,0.02,0.03,0.01,15171953.33,1
0.19,-1.98,0.81,0.14,-0.01,-0.12,16631914.29,1
0.3,2.43,0.73,0,0.3,0.14,8079700,1
0.01,1.22,0.91,0.1,0.21,0.07,17063086.67,1
0,3.65,0.83,0.07,0.2,-0.04,11386816.19,1
0.86,-4.63,1.57,0.02,0.06,-0.63,24066476.19,1
0.5,1.51,0.97,0.01,0.33,0.02,24749901.9,1
0.41,0.53,0.74,0.07,0.18,0.13,8342863.81,1
0.23,1.08,0.87,0.04,0.33,0.03,10848291.78,1
0.12,3.57,1.11,0,0.37,-0.14,15558069.52,1
0.09,-0.33,0.83,0.01,0.2,0,8482348.57,1
1.4,0.93,0.99,0.01,0.13,0,18266780.95,1
0.3,2.08,0.71,0.07,0.22,0.18,7994459.83,1
0.66,1.33,0.99,0.03,0.25,-0.02,11592675.24,1
1.51,-4.71,0.88,0.05,-0.6,-0.22,6804040.95,1
0.03,3.31,0.8,0.1,0.67,0.05,21610043.81,1
0.53,1.27,0.98,0.11,0.22,-0.09,9335090.48,1
0.22,3.35,0.82,0.06,0.24,-0.14,14428879.96,1
0.07,1.3,1.08,0.01,0.51,-0.17,9384263.81,1
0.14,4.54,0.77,0.12,0.27,0.14,9827573.33,1
0.07,2.85,0.88,0.01,1.13,0.01,8711529.52,1
1.51,1.08,0.97,0,0.13,0.02,48005941.9,1
1.05,3.25,0.78,0.01,0.14,0.11,8762949.52,1
0.5,3.04,0.81,0.03,0.27,0.03,8525440.95,1
0.44,5.06,0.6,0.02,0.43,0.19,26333122.86,1
0.12,3.57,1,0,0.37,-0.01,32922352.38,1
9.28,1.16,0.97,0,0.05,-0.01,6879303.81,1
1.09,1.86,0.96,0,0.14,0.02,17847850.48,1
2.05,0.19,1.29,0.03,0.13,-0.32,11515419.05,1
0.12,-0.7,1.11,0,0.37,-0.14,9742768.57,1
2.41,-1.91,0.93,0,0,0.01,23695561.9,1
8.5,-0.91,1.28,0.01,0.01,-0.31,8355880,1
0.12,-1.64,1.27,0.11,-3.18,-0.49,19075084.76,1
0,4.94,0.67,0.09,0.29,0.27,10491743.81,1
0.62,0.65,0.99,0.01,0.37,-0.43,7204519.05,1
0.16,0.1,0.64,0.37,0.09,0,20681386.67,1
0.06,-1.37,0.95,0.15,-0.4,-0.19,265390461.9,1
0.13,1.08,0.83,0,0.22,0.08,7501385.04,1
0.06,2.03,0.99,0.14,0.38,-0.1,13921275.24,1
0.91,2.02,0.78,0,0.33,0.15,16232580.95,1
0.2,-4.11,1.1,0.07,0.04,-0.22,14233595.24,1
0.11,1.94,0.79,0.05,0.25,0.05,14597998.15,1
0.3,2.28,0.75,0.05,0.18,0.14,19512816.19,1
0.18,3.77,0.59,0.14,0.27,0.08,30971562.33,1
0.12,-0.63,1.05,0.15,0.37,-0.07,8313251.43,1
0.01,-14.19,1.21,0.01,-0.09,-0.34,7602645.43,1
0.08,1.14,0.92,0.11,0.28,0.02,7501360,1
0.58,1.15,0.82,0.05,0.17,0.07,7994285.71,1
0.12,3.57,0.97,0,0.37,-0.01,8712572.38,1
0.22,1.19,1.02,0,0.22,-0.06,13992746.67,1
0.01,-0.6,0.85,0.01,0.03,0.1,39544890.48,1
0.27,2.65,0.88,0,0.31,0.03,20051571.43,1
0.08,-0.27,0.82,0.06,0.23,0.06,42250509.7,1
0.67,-1.44,0.99,0,0,-0.15,14655289.52,1
0,1.99,0.77,0.09,0.28,0.01,9591792.38,1
0.02,1.99,0.7,0.01,0.33,0.24,40917868.57,1
0.43,-0.48,0.76,0.04,0.17,-0.03,21750755.24,1
0.37,0.34,0.99,0.01,0.17,-0.21,35952344.76,1
0.17,-5.85,0.89,0.02,0.11,-0.02,38103314.87,1
0.14,2.39,1.03,0.08,0.47,-0.3,13564348.11,1
0.06,2.22,0.97,0.01,0.5,-0.23,9338529.52,1
0.27,-3.78,0.95,0.13,0.19,-0.72,30096449.52,1
0.9,-1.18,0.8,0.03,0.08,0.13,14545550.48,1
0.05,0.52,0.72,0.12,0.32,0.23,27026982.46,1
0.24,1.45,0.77,0.29,0.28,0.1,67582016.19,1
0.35,1.14,0.96,0.01,0.34,-0.29,8758806.67,1
0.2,2.95,0.78,0.04,0.29,0.07,15843770.48,1
0.02,-7.9,1.15,0.69,-0.59,-1.17,7351971.43,1
0.09,-8.86,0.9,0.14,-0.29,-0.5,7760573.41,1
0.1,27.6,0.66,0.01,1.5,0.34,90407815.33,1
0.13,2.06,0.15,0,0.13,0.38,11964615.24,1
0.3,3.15,0.64,0.04,0.49,0.12,19124821.79,1
0.29,1.29,0.76,0,0.19,0.02,17524310.48,1
0.34,2.25,0.9,0,0.3,0.01,18368820,1
0.16,2.51,0.53,0.07,0.29,0.03,687683515.2,1
0.08,-0.92,0.45,0.18,0.2,-0.71,44202094.18,1
0.14,-2.27,0.86,0.04,-0.04,-0.19,18075182.86,1
0.1,6.79,0.5,0.14,0.51,0.07,1422537681,1
0.09,-0.86,0.83,0.02,0.05,-0.67,32843812.38,1
0.13,21.22,0.41,0.07,0.73,0.41,146122623.8,1
0.17,22.24,0.22,0.21,0.59,-0.02,52291393.33,1
0.07,-4.88,1.27,0,-0.88,-0.64,7117126.67,1
0.28,2.69,0.75,0.06,0.34,0.01,25239236.38,1
0.08,1.88,1.09,0.02,0.41,-0.31,21287791.43,1
0.19,0.21,0.94,0.02,0.33,-0.11,14507044.76,1
0.18,0.21,0.89,0.16,0.12,-0.06,18883100.95,1
0.22,1.56,0.67,0.18,0.29,0.29,13761779.05,1
0.07,-1.12,1.51,0.13,0.05,-1.14,23136878.1,1
0.82,1.84,0.74,0.17,0.11,0.11,61550793.17,1
0.04,1.67,0.86,0.09,0.23,-0.01,11651712.38,1
0.46,0.75,0.92,0,0.19,0,10816307.62,1
4.26,-0.09,1.14,0.05,0,-0.14,83633174.29,1
0.12,-0.28,0.95,0,0.01,-0.02,8753878.1,1
0.12,-0.82,1.08,0.07,0.37,-0.1,39089765.71,1
0.43,2.64,0.72,0.03,0.18,0.07,29683004.76,1
0.03,9.48,0.66,0.13,0.47,0.26,37122796.19,1
0.19,0.46,0.91,0.19,0.08,0.01,16592066.67,1
0.18,6.76,0.8,0.24,0.58,0.06,26128019.39,1
0.12,3.57,1,0.02,0.37,-0.01,24750123.81,1
1.55,2.21,1.02,0.01,0.12,-0.03,22292388.57,1
9.88,1.42,0.93,0.05,0.07,0.02,9830255.24,1
0.12,-8.62,1.22,0.07,0.37,-0.23,15946834.29,1
0.28,-1.5,0.52,0.07,0.07,-0.04,21257675.24,1
0.16,2.86,0.54,0.23,0.17,0.11,22938671.28,1
1.89,-2.33,0.37,0.03,0.04,0.06,33301808.57,1
0.19,-6.04,1.52,0.11,0.08,-2.39,54050201.9,1
0.15,-0.4,0.89,0.14,0.04,-0.34,23896037.14,1
0.02,3.76,1.25,0.3,0.42,-0.48,68038953.33,1
0.38,0.22,0.8,0.01,0.11,0,26594647.62,1
0.04,-0.18,0.96,0.1,0.24,-0.11,834594919.1,1
0.28,2.15,0.6,0.51,0.18,0.1,210546596.5,1
0.02,0.09,0.89,0.56,0.16,-0.01,39635984.3,1
0.05,45.04,0.51,0.08,0.37,0.44,12385688.57,1
0.3,2.97,0.74,0.04,0.29,-0.1,49942207.62,1
0.19,1.73,0.87,0.16,0.35,0.02,7469746.67,1
0,1.77,0.93,0.01,0.08,-0.08,16377247.46,1
0.23,-0.73,0.72,0.05,0.11,0,16908888.57,1
0.1,4.33,1.56,0.01,0.85,-0.85,13054283.81,1
0.01,1.77,0.66,0.12,0.2,0.01,164912681,1
0.48,-2.38,0.89,0.19,0.13,-0.44,49964169.9,1
0.19,2.1,0.97,0.1,0.31,-0.18,24694258.1,1
0.06,-0.63,0.99,0.02,0.16,-0.13,32299168.05,1
0.12,4.22,0.5,0.55,0.19,0.3,27364621.42,1
0.08,4.89,0.86,0.08,0.36,0,25972525.39,1
0.12,-6.61,0.69,0.13,-0.1,-0.12,18068124.65,1
0.01,3.56,0.88,0.38,1.45,-0.08,33546763.62,1
0.01,-8.06,0.59,0.28,-0.05,-0.07,22290161.9,1
0.2,-0.72,1.49,0.55,0.2,-1.41,25749870.48,1
0.05,3.49,0.66,0.19,0.32,0.16,17819480,1
0.27,-3.01,0.89,0.33,0.07,-0.49,45106110.8,1
0.07,1.83,0.91,0.17,0.47,0,11552428.44,1
0.2,-0.38,1.04,0.04,0.11,-0.1,7752048.57,1
0.21,-3.79,0.86,0.01,-1.58,-0.58,9915611.43,1
0.35,1.14,0.95,0.01,0.21,-0.21,11483235.46,1
0.16,1.57,0.76,0.31,0.15,-0.03,33149285.71,1
0.13,-11.25,0.76,0.26,-0.18,-3.41,26074542.94,1
0.28,3.81,0.59,0.19,0.22,0.06,101612026.7,1
0.05,1.66,1.04,0.36,0.35,-0.17,12316100,1
0.09,0.46,1.83,0,0.28,-3.38,9937331.49,1
0.34,1.55,0.74,0.32,0.18,0.17,10934423.81,1
0.12,2.2,0.95,0,0.14,0.01,10611820.87,1
0.07,3.37,0.8,0.01,0.32,0.06,13831416.44,1
0.18,20.6,0.61,0.01,0.27,0.2,585032507.6,1
0.12,1.12,0.72,0.09,0.26,-0.16,28976414.29,1
0.06,1.63,0.79,0.03,0.11,0.13,129786420,1
0,3.81,0.71,0.25,0.11,0.12,28225027.62,1
0.12,-1.52,0.96,0.02,-0.01,-0.02,15178514.29,1
0.65,-0.22,0.92,0.09,0.04,-0.05,18091950.14,1
0.05,0.77,0.8,0.07,0.12,0.03,8260154.29,1
0.56,-2.32,0.51,0.29,0.12,-0.23,13881542.01,1
0.09,-1.01,0.87,0.06,0.26,0.08,8917280,1
0.12,4.08,0.85,0.08,0.48,0.01,64177546.67,1
0.1,2.62,0.75,0.08,0.23,0.13,15096531.43,1
0.67,0.75,0.67,0.03,0.11,0,9399904.76,1
0.08,0.21,0.91,0.06,0.34,-0.3,7199321.9,1
0.42,-7.08,0.91,0,-0.31,-0.37,7161781.16,1
0.24,2.12,0.72,0.03,0.28,0.12,12344644.76,1
0.09,12.48,0.65,0.14,0.9,0.21,27665987.62,1
0.29,1.09,0.86,0,0.17,0.02,17889880.95,1
0.12,4.57,0.71,0.26,0.29,0.13,10613654.66,1
0.31,2.66,0.85,0,0.29,0.05,11061449.52,1
0.13,3.39,0.72,0.09,0.38,0.14,14161420.95,1
0.17,-17.82,1.49,0.09,-0.09,-0.59,11278922.86,1
0.14,3.45,1.21,0,0.47,0.11,7277771.01,1
0.16,1.22,0.98,0.05,0.35,-0.23,19741074.29,1
0.12,-0.92,0.76,0.16,0.02,0.11,41099536.47,1
0.03,5.06,0.7,0.05,0.53,0.19,14194420.95,1
0.01,1.95,0.85,0.08,0.8,-0.06,11136978.1,1
0.02,-0.69,0.87,0.07,0.23,-0.06,32711461.9,1
0.01,1.05,0.77,0.24,0.22,0.09,24309937.14,1
0.37,-1.08,1.19,0.17,0.3,-0.6,13413132.96,1
0.34,-0.62,0.75,0.02,0.41,-0.01,7828952.38,1
0.17,-5.28,1.16,0.14,-0.36,-1.69,8983623.81,1
0.05,1.08,0.7,0.15,0.69,0.18,24131517.14,1
0.34,2.41,0.74,0.24,0.29,0.26,31076101.9,1
0.01,77.52,0.42,0.1,0.3,0.53,7238118.1,1
0.4,2.55,0.93,0.02,0.1,-0.09,20402985.23,1
0.13,-0.76,0.66,0.02,0.79,0.23,6710202.86,1
0.05,4.88,0.96,0.02,0.47,-0.07,12852069.52,1
0.12,-3.47,0.97,0.02,-0.07,-0.78,10925448.57,1
0.2,1.99,0.72,0.03,0.26,0.16,9206562.33,1
0.09,-38.67,0.26,0.46,0.06,0.6,12656255.77,1
0.38,0.71,0.67,0.02,0.16,0.02,38191108.96,1
0.28,3.18,0.47,0.47,0.22,0.21,61795674.29,1
0.12,-2.54,0.96,0.11,-0.68,-0.18,7395240.95,1
0.11,1.04,0.99,0.21,0.23,-0.1,10646295.48,1
0.28,2.02,0.97,0.02,0.48,-0.18,10449882.86,1
0.04,5.58,0.46,0.07,0.39,0.27,6661373.96,1
0.77,-0.31,0.92,0,0.12,-0.19,9835495.24,1
0.39,-0.39,0.8,0.04,0.08,-0.25,51216619.05,1
0.12,-7.6,1.08,0.02,-0.4,-0.24,18507881.9,1
0.01,-3.77,0.68,0.12,0.29,-1.13,21263886.67,1
0.08,-14.85,0.6,0.29,-0.16,-0.81,27980284.76,1
0.39,4.01,0.83,0.08,0.24,0.08,14560615.24,1
0.39,2.35,0.76,0.02,0.3,-0.05,9771779.05,1
0.19,2.42,0.83,0.17,0.97,0.05,11235238.1,1
0.47,-0.59,0.9,0,0.22,-0.93,8006706.37,1
0.48,-0.62,0.77,0.15,0.43,-0.48,9975899.05,1
0.24,2.6,0.94,0,0.53,-0.27,7771873.33,1
0.2,1.88,0.83,0.05,0.57,-0.21,212885659.1,1
0.13,1.25,0.81,0.03,0.19,0.01,7516640,1
0.06,-1.08,0.52,0.01,0.23,-0.16,43833839.05,1
0.11,4.37,0.79,0.01,0.7,0.05,7318890.48,1
0.14,0.41,0.8,0.02,0.11,-0.09,13276862.42,1
0.39,-0.01,0.95,0,0.21,-0.15,14720184.76,1
0.72,1.53,0.76,0.02,0.15,0.15,16795845.8,1
0.19,2.97,0.89,0.08,0.43,0.02,20485085.71,1
0.06,-2.8,1.14,0.03,0.18,-0.15,8400742.86,1
0.08,3.4,0.81,0.1,0.34,0.1,14973875.24,1
0.01,3.1,0.87,0.02,0.15,0.04,47246975.24,1
0.07,2.25,0.89,0,0.19,0.02,24244594.29,1
0.12,1.04,0.63,0.31,0.14,0.24,7582600.95,1
0.13,2.36,0.68,0.13,0.25,0.16,7859801.9,1
0.08,6.18,0.89,0.43,0.6,0.08,107088798.7,1
0.15,5.3,0.44,0.17,0.22,0.33,11391515.24,1
0.12,-0.17,0.75,0.02,0.11,0.02,16463056.33,1
0,2.66,0.44,0.06,0.16,0.28,15090931.43,1
0.43,5.59,0.94,0.05,0.16,-0.03,17040041.55,1
0.54,1.74,0.77,0.02,0.18,0.07,14817646.67,1
0,0.97,0.92,0.07,0.11,-0.02,14562825.71,1
0.09,0.07,0.51,0.15,0.29,0.15,15953832.87,1
0.17,0.53,0.79,0.01,0.4,-0.01,11116951.43,1
0.11,-6.39,1.33,0.08,-1.09,-4.55,8933497.14,1
0.06,2.61,0.75,0.1,0.32,0.14,10902210.53,1
0.16,0.49,0.81,0.2,0.17,0.01,17454833.33,1
0.09,3.94,1.1,0.15,0.48,-0.23,14464442.86,1
1.02,1.33,0.86,0.1,0.09,0.02,15933797.14,1
0.05,4.52,0.66,0.06,0.12,0.22,11628754.29,1
0.54,2.24,0.63,0.16,0.39,0.04,17441595.57,1
0.12,4.04,0.92,0.02,0.22,0.02,15023437.14,1
1.12,-2.37,1.2,0.05,-0.09,-0.58,24196818.1,1
0.34,0.27,0.96,0.1,0.18,-0.2,9142642.86,1
0.13,2.16,0.95,0.09,0.29,-0.06,23252745.71,1
0.22,1.48,0.56,0.23,0.3,-0.01,24297139.05,1
0.41,1.63,0.86,0.03,0.28,0.04,11515554.29,1
0.02,6.12,0.79,0.04,0.26,-0.03,7729515.24,1
0.01,3.6,0.81,0.01,0.46,0.07,15816682.36,1
0.04,6.26,0.86,0.23,0.54,-0.01,6742084.76,1
0.14,13.46,0.45,0.04,0.95,0.29,29917942.75,1
0.02,-1.68,0.73,0.23,0.21,-0.33,8280680.95,1
0.11,-0.58,0.98,0.13,0.52,-0.11,14120449.68,1
0,-0.83,0.8,0.05,0.24,0.16,7981819.94,1
0.4,3.25,0.8,0.05,0.29,-0.01,10416987.62,1
0.23,-2.79,0.89,0.07,0.55,-0.17,29334238.1,1
0.97,0.54,0.72,0.05,0.11,-0.13,13495748.57,1
0.74,0.35,0.87,0.05,0.38,-0.07,8834666.67,1
0.11,-2,0.69,0.53,0.19,0.14,18287476.45,1
0.08,-1.65,0.79,0.17,0.33,-0.25,17581380.95,1
0.05,2.49,0.8,0.01,0.26,0.08,43048667.62,1
0.29,0.5,0.9,0.02,0.21,-0.09,8196362.86,1
0.14,2.93,0.67,0,0.66,0.18,11487787.62,1
0.4,-0.57,0.82,0.2,0.17,-0.06,29410769.16,1
0.07,-0.04,1.15,0.07,0.08,-0.2,18994169.52,1
0.15,0.38,1.09,0.06,0.17,-0.17,16469130.48,1
0.09,2.05,0.85,0.17,0.27,0.12,11615804.25,1
0.05,-2.09,1.09,0.17,0.24,-0.71,36851027.62,1
0.34,-1.87,0.75,0.07,-0.37,-0.11,6595852.26,1
0.45,1.13,0.99,0.01,0.2,-0.12,14722142.86,1
0.49,-0.78,0.93,0,0.03,-0.03,12184176.19,1
0.27,1.31,0.98,0.02,0.26,-0.39,9246286.24,1
0.22,1.48,0.81,0.13,0.23,0.12,13658096.03,1
0.07,1.17,0.96,0.02,0.27,-0.23,10947348.57,1
0.14,1.23,0.73,0.04,0.35,0.03,23038689.52,0
0.06,3.14,0.07,0.32,0.39,-0.14,8728372.38,0
0.41,-3.63,0.54,0.35,-0.24,-0.64,20648769.52,0
0.16,18.92,0.28,0.08,0.46,0.7,23656323.81,0
0.37,1.1,1.16,0.18,0.24,-0.3,6845559.05,0
0.31,1.28,0.66,0.18,0.31,0.31,11940602.86,0
0.01,3.14,0.06,0.67,0.41,0.79,12761223.81,0
0.04,-1.06,0.98,0.04,0.19,-0.67,7411154.29,0
0.16,9.68,0.43,0.28,0.39,0.5,11933574.29,0
0.03,7.5,0.67,0.27,1.15,0.31,14359900,0
0.1,3.21,0.68,0.13,0.51,0.19,9268115.24,0
1,10.7,0.76,0.03,0.16,0.21,311290298.1,0
0.07,3.05,0.64,0.28,0.39,0.14,7221282.86,0
0.07,624.78,0.11,0.56,0.32,0.78,21449329.52,0
0.08,2.61,0.88,0.05,0.47,0.03,23816126.67,0
0.52,2.24,0.77,0.1,0.37,0.07,11676359.05,0
0.08,5.8,0.6,0.02,0.21,0.27,10810694.29,0
0.01,2.4,0.73,0.26,0.33,0.19,8289040,0
0.04,32.55,0.46,0.2,0.38,0.5,45743963.81,0
0.22,8.26,0.4,0.06,0.35,0.43,74470204.76,0
0.03,12.08,0.61,0.43,1.08,0.3,15610527.62,0
0.19,95.86,0.28,0.11,0.39,0.54,14253209.52,0
0.13,3.14,0.71,0.01,0.17,0.05,8349438.1,0
0.01,3.4,0.68,0.03,0.27,0.17,24916683.81,0
0.04,26.78,0.25,0.37,0.2,0.37,66943477.14,0
0.15,3.52,0.7,0.01,0.31,0.19,8759043.81,0
0.07,2.5,0.71,0.12,0.27,0.2,10506431.43,0
0.15,8.32,0.34,0.09,0.46,0.65,19809560.95,0
0.14,6.61,0.41,0.15,0.73,0.44,12815394.29,0
0.13,8.92,0.58,0.11,0.79,0.33,20793578.1,0
0.07,4.23,0.33,0.58,0.14,0.66,11899641.9,0
0.13,5.24,1.12,0.13,1.96,-1.16,49239020.95,0
0.19,4.61,0.53,0.09,0.24,0,11073384.76,0
0.62,1.65,0.83,0.02,0.12,0.14,88226498.1,0
0.03,79.43,0.42,0.33,0.28,0.23,19642840,0
0.15,2.12,0.6,0.37,0.39,0.07,10429712.38,0
0.3,3.35,0.74,0.02,0.3,0.04,19232014.29,0
0.02,1.05,0.7,0.2,0.19,0.12,9146398.1,0
0.14,7.4,0.57,0.46,0.46,0.2,38738554.29,0
0.29,2.12,0.52,0.04,0.23,0.4,12319741.9,0
0.15,2.53,0.73,0.32,0.15,-0.31,15395700.95,0
0.02,7.71,0.48,0.03,0.48,0.41,8820541.9,0
0.16,5.13,0.64,0.11,0.37,0.18,36548812.38,0
0.03,16.49,0.5,0.05,0.27,0.39,11950938.1,0
0.1,10.32,0.12,0.22,0.42,0.66,8086317.14,0
0.25,1.99,0.26,0.13,0.33,0.25,7521265.71,0
0.26,4.88,0.75,0.08,0.44,0.2,10062312.38,0
0.1,50.27,0.49,0.08,0.95,0.48,7101245.71,0
0.12,12.24,0.62,0.07,0.43,0.11,13218904.76,0
0.09,343.18,0.47,0.51,1.4,0.35,60906536.19,0
0.05,2.46,0.57,0.06,0.85,0.37,8708274.29,0
0.17,52.7,0.7,0.18,0.39,0.19,17504915.24,0
0.01,148.93,0.46,0.51,0.48,0.45,21235915.24,0
0.26,2.8,0.77,0.1,0.15,0.12,13335630.48,0
0.17,344.52,0.98,0.03,0.31,0.01,66445402.86,0
0,44.91,0.33,0,0.52,0.58,11233392.38,0
0.02,1.02,0.81,0.04,0.36,0.15,10731297.14,0
0.02,15.61,0.62,0.01,0.28,0.36,17225546.67,0
0.02,6.67,0.58,0.2,0.29,0.4,12963922.86,0
0.21,-0.75,0.53,0.59,0.14,0.42,8646929.52,0
0.64,35.6,0.3,0.05,0.32,0.68,14162168.57,0
0.04,1.97,0.75,0.17,0.78,0.23,7209419.05,0
0.22,-0.81,0.53,0.03,0.13,0.16,14023491.43,0
0.1,1.92,0.78,0.01,1.07,-0.15,35255393.33,0
0,-186.05,0.55,0.2,0.14,0.31,13696244.76,0
0.03,5.32,0.7,0.06,0.87,0.28,35393991.43,0
0.05,4.62,0.32,0.08,0.39,0.42,9610921.9,0
0,5.84,0.27,0.23,0.22,0.51,9201678.1,0
0.06,0.66,0.86,0.04,0.1,0.02,16962741.9,0
0.1,0.86,0.3,0.45,0.21,-0.16,47489178.1,0
0.08,7.72,0.63,0.39,0.26,0.29,31265963.81,0
0.01,114.12,0.71,0.41,0.21,0.15,57057272.38,0
0.09,64.55,0.19,0.53,0.18,0.74,23984728.57,0
0.12,48.39,0.27,0.23,0.31,0.45,8862657.14,0
0.11,69.3,0.28,0.28,0.35,0.54,30292953.33,0
0.12,997.15,0.38,0.43,0.41,0.48,8101560.95,0
0.13,6.82,0.51,0.14,0.56,0.19,14277394.29,0
0.08,324.43,0.15,0.34,0.48,0.77,19092873.33,0
0.04,102.15,0.39,0.39,0.53,0.58,9841525.71,0
0.14,3.08,0.8,0.09,1.12,0.01,9979712.38,0
0.21,21.41,0.61,0,0.73,0.33,9270924.76,0
0.2,0.91,0.81,0.11,0.3,0.01,14605973.33,0
0.33,3.45,0.71,0.04,0.37,0.18,8452366.67,0
1.32,1.34,0.96,0,0.1,0.02,25842911.43,0
0.06,4.55,0.8,0.09,0.45,0.09,13522713.33,0
0.07,1.34,0.79,0.02,0.4,0.12,10254685.71,0
0,238846.95,0.11,0.29,0.52,0.53,89557399.05,0
0.14,5.64,0.51,0.15,0.31,0.28,92331052.38,0
0.15,29.73,0.22,0.47,0.33,0.56,11288425.71,0
0.02,571.78,0.16,0.71,0.49,0.82,10205668.57,0
1.34,-10.24,0.53,0.01,0.02,0.13,15547672.38,0
0.12,146.61,0.26,0,1.24,0.43,43651393.33,0
0.26,0.08,0.97,0.13,0.81,-0.05,11153549.52,0
0.15,3.14,0.12,0.74,0.36,0.85,10348109.52,0
0.04,397.46,0.08,0.89,0.81,0.71,21133336.19,0
0.03,41.04,0.54,0.09,0.36,0.42,34488237.14,0
0.07,3.14,0.15,0.8,1.07,0.72,30835028.57,0
0.06,-36.35,0.21,0.29,0.1,0.74,56177787.62,0
0.2,1.35,0.84,0.01,0.37,0.05,11762144.76,0
0.14,-8.49,0.28,0.48,0,-0.11,35910843.81,0
0.11,89.87,0.05,0.12,0.34,0.59,160697534.3,0
0.1,44.64,0.22,0.19,1.3,0.51,205053973.3,0
0.08,92.04,0.23,0.17,0.84,0.56,9969878.1,0
0.15,59.87,0.57,0,0.66,0.36,54723795.24,0
0.02,5.2,0.67,0.03,0.66,-0.1,11024086.67,0
0.05,10.05,0.49,0.14,1.06,0.45,55069522.86,0
0.01,5.93,0.52,0.06,0.46,0.34,16642943.81,0
0.04,3.14,0.08,0.73,0.08,0.89,19763393.33,0
0.21,4.53,0.86,0.03,1.04,0.14,83349433.33,0
0.03,5.66,0.59,0.39,0.27,0.15,23682220.95,0
0.27,1.7,0.71,0.05,0.29,0.08,9147760,0
0.03,2.76,0.61,0.21,0.21,0.31,19740363.81,0
0.39,-10.49,0.73,0,-0.02,0.08,21836039.05,0
0.1,6.92,0.6,0.14,0.95,0.2,9436252.38,0
0.09,33.58,0.64,0.19,0.66,0.26,8876279.05,0
0.16,3.89,0.68,0.05,0.27,0.17,7547464.76,0
0.07,9.38,0.34,0.65,0.36,0.02,8919674.29,0
0.23,1.92,0.82,0.12,0.25,0.11,7416771.43,0
0.12,262.38,0.45,0.62,0.35,0.49,22625712.38,0
0.41,5.9,0.74,0.12,0.18,0.15,56960015.24,0
0.18,26.86,0.46,0.22,0.56,0.44,9996634.29,0
0.12,4.05,0.75,0.31,0.81,0.15,7816405.71,0
0.01,-90.24,0.25,0.57,0.12,0.63,11883556.19,0
0.08,11.84,0.52,0.09,0.81,0.26,12051908.57,0
0.33,10.86,0.54,0.06,0.23,0.14,30746640,0
0.25,3.05,0.85,0.11,0.73,0.08,9625401.9,0
0.06,1.63,0.83,0.04,0.34,0.16,34799317.14,0
0.04,3.57,0.14,0.06,0.15,0.67,9607615.24,0
0.1,17.07,0.5,0.08,0.51,0.48,19479413.33,0
0.11,21.02,0.67,0.26,0.45,0.26,13354314.29,0
0.05,6.57,0.6,0.08,0.43,0.02,18144749.52,0
0.14,0.84,0.64,0.26,0.56,0.22,6742766.67,0
0.09,13647.5,0.34,0.58,0.48,0.55,11604844.76,0
0,48.69,0.32,0.39,0.85,0.61,11938805.71,0
